id,descricaobiomas,descricaoestados
111,AMAZONIA,RONDONIA
112,AMAZONIA,ACRE
113,AMAZONIA,AMAZONAS
114,AMAZONIA,RORAIMA
115,AMAZONIA,PARA
116,AMAZONIA,AMAPA
117,AMAZONIA,TOCANTINS
121,AMAZONIA,MARANHAO
151,AMAZONIA,MATO GROSSO
224,MATA ATLANTICA,RIO GRANDE DO NORTE
225,MATA ATLANTICA,PARAIBA
226,MATA ATLANTICA,PERNAMBUCO
227,MATA ATLANTICA,ALAGOAS
228,MATA ATLANTICA,SERGIPE
229,MATA ATLANTICA,BAHIA
231,MATA ATLANTICA,MINAS GERAIS
232,MATA ATLANTICA,ESPIRITO SANTO
233,MATA ATLANTICA,RIO DE JANEIRO
235,MATA ATLANTICA,SAO PAULO
241,MATA ATLANTICA,PARANA
242,MATA ATLANTICA,SANTA CATARINA
243,MATA ATLANTICA,RIO GRANDE DO SUL
250,MATA ATLANTICA,MATO GROSSO DO SUL
252,MATA ATLANTICA,GOIAS
350,PANTANAL,MATO GROSSO DO SUL
351,PANTANAL,MATO GROSSO
411,CERRADO,RONDONIA
415,CERRADO,PARA
417,CERRADO,TOCANTINS
421,CERRADO,MARANHAO
422,CERRADO,PIAUI
429,CERRADO,BAHIA
431,CERRADO,MINAS GERAIS
435,CERRADO,SAO PAULO
441,CERRADO,PARANA
450,CERRADO,MATO GROSSO DO SUL
451,CERRADO,MATO GROSSO
452,CERRADO,GOIAS
453,CERRADO,DISTRITO FEDERAL
521,CAATINGA,MARANHAO
522,CAATINGA,PIAUI
523,CAATINGA,CEARA
524,CAATINGA,RIO GRANDE DO NORTE
525,CAATINGA,PARAIBA
526,CAATINGA,PERNAMBUCO
527,CAATINGA,ALAGOAS
528,CAATINGA,SERGIPE
529,CAATINGA,BAHIA
531,CAATINGA,MINAS GERAIS
643,PAMPA,RIO GRANDE DO SUL
